Id,Label,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
Woodland Small Blue Felt Heart,Woodland Small Blue Felt Heart,Product,13,1117,5,0.438721,0.456728,0.000003,0.000744,0.000744,0.00009,0,16,610,0.833333,65,0.012689
Scented Velvet Lounge Candle,Scented Velvet Lounge Candle,Product,57,4662,5,0.470652,0.487426,0.000032,0.002304,0.002304,0.000124,0,14,818,0.491855,785,0.039694
Alphabet Hearts Sticker Sheet,Alphabet Hearts Sticker Sheet,Product,37,2431,4,0.466273,0.481325,0.000004,0.002587,0.002587,0.000088,0,7,741,0.92042,613,0.044093
Bingo Set,Bingo Set,Product,427,43148,4,0.525933,0.571182,0.000065,0.026386,0.026386,0.000417,0,11,85,0.727271,66146,0.445525
Christmas Tree Painted Zinc,Christmas Tree Painted Zinc,Product,203,21554,4,0.497994,0.52507,0.00003,0.011744,0.011744,0.000254,0,16,596,0.753646,15452,0.199221
Strawberry Honeycomb Garland,Strawberry Honeycomb Garland,Product,167,17772,4,0.490957,0.515765,0.000046,0.00882,0.00882,0.000237,0,14,774,0.621961,8621,0.150552
Pottering In The Shed Metal Sign,Pottering In The Shed Metal Sign,Product,737,90720,4,0.568996,0.634785,0.000823,0.039372,0.039372,0.000865,0,5,867,0.546089,148108,0.665196
Green Metal Swinging Bunny,Green Metal Swinging Bunny,Product,11,676,5,0.418433,0.438629,0,0.000344,0.000344,0.000068,0,14,843,0.690909,38,0.005998
Feltcraft Christmas Fairy,Feltcraft Christmas Fairy,Product,365,45633,4,0.512891,0.555481,0.000068,0.021695,0.021695,0.000433,0,16,515,0.710477,47197,0.366357
Snack Tray Red Vintage Doily,Snack Tray Red Vintage Doily,Product,29,1834,5,0.45945,0.475179,0.000749,0.001642,0.001642,0.000127,0,16,577,0.859606,349,0.027966
Vintage Christmas Paper Gift Bag,Vintage Christmas Paper Gift Bag,Product,200,23396,4,0.48985,0.519218,0.000008,0.01253,0.01253,0.000247,0,16,23,0.826181,16441,0.21168
Rose Cottage Keepsake Box,Rose Cottage Keepsake Box,Product,201,18512,4,0.491142,0.520242,0.000029,0.012353,0.012353,0.000215,0,7,571,0.77209,15519,0.209482
Ice Cream Sundae Lip Gloss,Ice Cream Sundae Lip Gloss,Product,677,89036,4,0.558508,0.621642,0.000864,0.035817,0.035817,0.000834,0,11,245,0.538951,123326,0.605698
Toast Its - Happy Birthday,Toast Its - Happy Birthday,Product,130,8556,4,0.487194,0.508314,0.000001,0.009916,0.009916,0.000128,0,7,284,0.936434,7852,0.168077
Plasters In Tin Spaceboy,Plasters In Tin Spaceboy,Product,1057,261276,4,0.61145,0.696054,0.001985,0.04829,0.04829,0.002261,0,7,6,0.390367,217862,0.817942
Box Of 6 Assorted Colour Teaspoons,Box Of 6 Assorted Colour Teaspoons,Product,261,19402,4,0.507794,0.538885,0.000045,0.014752,0.014752,0.000247,0,14,152,0.728294,24711,0.251461
Romantic Images Notebook Set,Romantic Images Notebook Set,Product,9,611,5,0.437762,0.455845,0.000034,0.000423,0.000423,0.000082,0,14,77,0.75,27,0.007332
Jumbo Bag Pink Polkadot,Jumbo Bag Pink Polkadot,Product,1131,311174,4,0.62494,0.711403,0.002667,0.049826,0.049826,0.0027,0,21,401,0.358472,229069,0.845063
Gardenia 3 Wick Morris Boxed Candle,Gardenia 3 Wick Morris Boxed Candle,Product,5,384,5,0.435058,0.452424,0.00015,0.000121,0.000121,0.000098,0,14,29,0.6,6,0.00219
Blue Birdhouse Decoration,Blue Birdhouse Decoration,Product,20,1440,5,0.455038,0.47051,0,0.001188,0.001188,0.000077,0,5,823,0.810526,154,0.020301
Pink Sweetheart Bracelet,Pink Sweetheart Bracelet,Product,10,576,5,0.456792,0.470638,0.002243,0.000681,0.000681,0.000271,0,5,102,0.466667,21,0.011845
Bunny Egg Garland,Bunny Egg Garland,Product,32,2268,5,0.4682,0.482246,0.00001,0.001583,0.001583,0.000092,0,14,843,0.709677,352,0.02748
Blue Egg Spoon,Blue Egg Spoon,Product,127,11198,5,0.487832,0.508532,0.000048,0.006921,0.006921,0.000197,0,14,42,0.613048,4905,0.118592
White Wire Egg Holder,White Wire Egg Holder,Product,7,414,5,0.453139,0.467709,0,0.00066,0.00066,0.00006,0,21,102,1,21,0.011365
Novelty Biscuits Cake Stand 3 Tier,Novelty Biscuits Cake Stand 3 Tier,Product,41,2557,5,0.468705,0.483845,0,0.003352,0.003352,0.000078,0,7,182,0.984146,807,0.057047
Swallows Greeting Card,Swallows Greeting Card,Product,490,63293,4,0.534893,0.58458,0.000243,0.027804,0.027804,0.000606,0,6,859,0.630475,75534,0.470256
Wrap I Love London,Wrap I Love London,Product,324,52125,4,0.511683,0.549469,0.000196,0.017683,0.017683,0.000508,0,6,488,0.632439,33093,0.29974
Red Retrospot Storage Jar,Red Retrospot Storage Jar,Product,42,2593,4,0.464031,0.480462,0.000001,0.002329,0.002329,0.000081,0,7,46,0.836237,720,0.039733
Black Champagne Glass,Black Champagne Glass,Product,83,8898,5,0.446768,0.472506,0.000098,0.001655,0.001655,0.000249,0,14,322,0.411989,1402,0.029405
Parlour Ceramic Wall Hook,Parlour Ceramic Wall Hook,Product,7,392,5,0.44509,0.460949,0.000007,0.000398,0.000398,0.000066,0,5,762,0.571429,12,0.006868
Keep Out Boys Door Hanger,Keep Out Boys Door Hanger,Product,2,103,5,0.372872,0.389716,0,0.000082,0.000082,0.000058,0,5,4,1,1,0.001404
Pack Of 12 Vintage Christmas Tissue,Pack Of 12 Vintage Christmas Tissue,Product,431,61655,4,0.523714,0.570382,0.000077,0.025672,0.025672,0.000561,0,16,526,0.723822,67073,0.433374
Rustic Strawberry Jam Pot Large,Rustic Strawberry Jam Pot Large,Product,21,1594,5,0.429112,0.449405,0,0.001163,0.001163,0.000075,0,16,367,0.9,189,0.019626
Mini Jigsaw Purdey,Mini Jigsaw Purdey,Product,196,29521,4,0.488656,0.517971,0.000365,0.010225,0.010225,0.000346,0,11,289,0.602878,11521,0.173623
White Goose Feather Christmas Tree,White Goose Feather Christmas Tree,Product,16,972,5,0.462221,0.475627,0.000035,0.001395,0.001395,0.000087,0,5,77,0.883333,106,0.023941
Red Polkadot Coffee Mug,Red Polkadot Coffee Mug,Product,64,8288,5,0.466356,0.485156,0.00003,0.002192,0.002192,0.000191,0,14,22,0.506448,1021,0.037907
Doormat Red Retrospot,Doormat Red Retrospot,Product,602,79684,4,0.548401,0.606549,0.000453,0.032321,0.032321,0.00078,0,5,613,0.573225,103697,0.546902
Slate Tile Natural Hanging,Slate Tile Natural Hanging,Product,165,13300,4,0.489758,0.514582,0.000459,0.011727,0.011727,0.000192,0,5,806,0.862454,11669,0.198675
Green Enamel Flower Ring,Green Enamel Flower Ring,Product,1,53,1,1,1,0,0,0,0.000379,2,2,40,0,0,0.000018
Hanging Hen On Nest Decoration,Hanging Hen On Nest Decoration,Product,77,6187,5,0.472872,0.491488,0.000006,0.004247,0.004247,0.000126,0,5,673,0.730349,2137,0.07262
Make Your Own Monsoon Card Kit,Make Your Own Monsoon Card Kit,Product,107,9858,4,0.48028,0.500608,0.000045,0.006751,0.006751,0.000159,0,11,641,0.753659,4274,0.114658
Marie Antoinette Trinket Box Gold,Marie Antoinette Trinket Box Gold,Product,9,1507,6,0.318855,0.325691,0.000002,0.000006,0.000006,0.00017,0,17,29,0.75,27,0.000266
Toast Its - I Love You,Toast Its - I Love You,Product,91,6970,4,0.479926,0.498177,0.000006,0.005838,0.005838,0.000121,0,7,136,0.770696,3156,0.099326
Mirrored Wall Art Poppies,Mirrored Wall Art Poppies,Product,8,619,5,0.405351,0.425627,0.000422,0.000297,0.000297,0.00013,0,21,436,0.428571,12,0.00511
Red Retrospot Oven Glove Double,Red Retrospot Oven Glove Double,Product,205,21670,4,0.497518,0.524783,0.000021,0.013135,0.013135,0.00024,0,21,510,0.82439,17238,0.2225
Magnets Pack Of 4 Vintage Collage,Magnets Pack Of 4 Vintage Collage,Product,314,35124,4,0.51068,0.547583,0.000237,0.016937,0.016937,0.000385,0,7,710,0.596996,29337,0.287472
Red Gingham Teddy Bear,Red Gingham Teddy Bear,Product,196,17517,4,0.491142,0.519474,0.000057,0.010868,0.010868,0.000218,0,7,47,0.698639,13351,0.184539
Origami Vanilla Incense Cones,Origami Vanilla Incense Cones,Product,1,72,1,1,1,0,0,0,0.000379,3,1,33,0,0,0.000018
Set Of 3 Butterfly Cookie Cutters,Set Of 3 Butterfly Cookie Cutters,Product,1071,165390,4,0.613176,0.698644,0.002344,0.049303,0.049303,0.001521,0,7,728,0.392042,224634,0.834852
Round Purple Clock With Sucker,Round Purple Clock With Sucker,Product,31,2459,5,0.41696,0.439441,0.000008,0.000634,0.000634,0.000114,0,14,453,0.673118,313,0.011328
Party Invites Football,Party Invites Football,Product,57,4548,5,0.467193,0.484932,0.000002,0.003362,0.003362,0.000102,0,7,573,0.834586,1332,0.057241
Make Your Own Playtime Card Kit,Make Your Own Playtime Card Kit,Product,99,8743,4,0.465773,0.489351,0.000031,0.005382,0.005382,0.000149,0,11,641,0.673469,3267,0.091164
Foot Stool Home Sweet Home,Foot Stool Home Sweet Home,Product,77,5127,5,0.475114,0.492959,0.000266,0.004508,0.004508,0.000139,0,16,736,0.720437,2108,0.076638
Embroidered Ribbon Reel Daisy,Embroidered Ribbon Reel Daisy,Product,75,10063,5,0.445318,0.470414,0.000042,0.003232,0.003232,0.000195,0,16,610,0.77045,2138,0.05497
Regency Tea Spoon,Regency Tea Spoon,Product,93,9983,4,0.47799,0.497218,0.000004,0.00572,0.00572,0.000146,0,7,518,0.80201,3431,0.097095
Angel Decoration With Lace Padded,Angel Decoration With Lace Padded,Product,6,383,5,0.390588,0.410086,0,0.000298,0.000298,0.00006,0,5,12,0.933333,14,0.005045
Hanging Butterfly T-Light Holder,Hanging Butterfly T-Light Holder,Product,139,11015,4,0.48556,0.50841,0.000037,0.007416,0.007416,0.000162,0,16,597,0.649463,6229,0.125951
Embroidered Ribbon Reel Rebecca,Embroidered Ribbon Reel Rebecca,Product,24,2994,5,0.415034,0.437158,0.000005,0.000641,0.000641,0.000113,0,16,610,0.815217,225,0.011055
Chrysanthemum Notebook,Chrysanthemum Notebook,Product,59,3362,5,0.473388,0.489569,0.000001,0.004594,0.004594,0.000087,0,16,43,0.97896,1675,0.077957
Purple Enamel Flower Ring,Purple Enamel Flower Ring,Product,1,53,1,1,1,0,0,0,0.000379,2,2,40,0,0,0.000018
Save The Planet Mug,Save The Planet Mug,Product,600,72900,4,0.549557,0.606933,0.000288,0.034381,0.034381,0.000714,0,5,89,0.62803,112857,0.580643
Pink Hanging Heart T-Light Holder,Pink Hanging Heart T-Light Holder,Product,564,56937,4,0.546905,0.600825,0.000343,0.030696,0.030696,0.000583,0,5,154,0.584621,92818,0.520174
Danish Rose Photo Frame,Danish Rose Photo Frame,Product,135,11979,5,0.488931,0.51029,0.000851,0.004755,0.004755,0.000273,0,14,436,0.401106,3628,0.082593
Wall Art Treasure Ahoy,Wall Art Treasure Ahoy,Product,53,4307,5,0.437615,0.461109,0.000022,0.002264,0.002264,0.000124,0,5,516,0.730044,1006,0.038528
3 Piece Spaceboy Cookie Cutter Set,3 Piece Spaceboy Cookie Cutter Set,Product,575,75316,4,0.54405,0.600633,0.000238,0.031984,0.031984,0.000684,0,7,36,0.601715,99298,0.540597
Enamel Pink Coffee Container,Enamel Pink Coffee Container,Product,39,3099,5,0.465607,0.481319,0.000004,0.001888,0.001888,0.000107,0,14,782,0.744939,552,0.032601
Alphabet Stencil Craft,Alphabet Stencil Craft,Product,155,26210,4,0.48565,0.510553,0.000003,0.010547,0.010547,0.00027,0,11,905,0.866862,10346,0.178341
4 Pink Dinner Candle Silver Flock,4 Pink Dinner Candle Silver Flock,Product,1,81,1,1,1,0,0,0,0.000379,4,3,326,0,0,0.000018
Pig Keyring With Light & Sound,Pig Keyring With Light & Sound,Product,115,8580,4,0.486557,0.505948,0.000309,0.007223,0.007223,0.000161,0,11,501,0.742334,4866,0.12253
Red Retrospot Round Cake Tins,Red Retrospot Round Cake Tins,Product,302,30593,4,0.508389,0.544321,0.000045,0.017623,0.017623,0.000316,0,7,589,0.71202,32362,0.298487
Space Frog,Space Frog,Product,30,1816,5,0.455356,0.472173,0.000003,0.001677,0.001677,0.000087,0,14,128,0.873563,380,0.028868
Sandalwood Fan,Sandalwood Fan,Product,291,27357,4,0.511984,0.545184,0.000289,0.017574,0.017574,0.000338,0,14,430,0.703827,29698,0.298166
Wrap Pink Fairy Cakes,Wrap Pink Fairy Cakes,Product,344,56004,4,0.516858,0.555097,0.000232,0.01979,0.01979,0.000547,0,6,792,0.666232,39305,0.33512
Box Of Vintage Jigsaw Blocks,Box Of Vintage Jigsaw Blocks,Product,157,13470,4,0.487558,0.512024,0.000011,0.010359,0.010359,0.000171,0,11,139,0.806631,9878,0.17558
Large Cake Towel Pink Spots,Large Cake Towel Pink Spots,Product,247,25418,5,0.501443,0.533154,0.000485,0.007636,0.007636,0.000442,0,14,115,0.466114,14161,0.133583
36 Doilies Vintage Christmas,36 Doilies Vintage Christmas,Product,349,68824,4,0.51048,0.551836,0.000126,0.019667,0.019667,0.000638,0,16,92,0.655798,39824,0.332547
Garage Key Fob,Garage Key Fob,Product,376,39247,4,0.520471,0.561365,0.000183,0.023622,0.023622,0.000411,0,5,304,0.740681,52218,0.399255
Blue Stripe Ceramic Drawer Knob,Blue Stripe Ceramic Drawer Knob,Product,658,96841,4,0.5566,0.618189,0.000732,0.035431,0.035431,0.000887,0,5,691,0.561107,121285,0.5991
Small Round Cut Glass Candlestick,Small Round Cut Glass Candlestick,Product,3,187,5,0.374587,0.392082,0,0.000111,0.000111,0.000059,0,16,775,0.333333,1,0.001911
Red Toadstool Led Night Light,Red Toadstool Led Night Light,Product,1421,327192,4,0.672343,0.767332,0.007346,0.05515,0.05515,0.003053,0,7,624,0.271723,274144,0.938241
Christmas Gingham Star,Christmas Gingham Star,Product,590,72991,4,0.547479,0.60447,0.000192,0.033296,0.033296,0.000678,0,16,760,0.630497,109552,0.562345
Wrap Paisley Park,Wrap Paisley Park,Product,323,36685,4,0.511783,0.549373,0.000116,0.018929,0.018929,0.000372,0,6,868,0.671211,34905,0.320657
Folding Umbrella Cream Polkadot,Folding Umbrella Cream Polkadot,Product,20,1142,5,0.435131,0.45465,0.000054,0.001086,0.001086,0.000114,0,14,775,0.757895,144,0.018685
Easter Bunny Garland Of Flowers,Easter Bunny Garland Of Flowers,Product,36,2766,5,0.45848,0.475403,0.000006,0.001502,0.001502,0.000102,0,14,843,0.71746,452,0.026015
Wooden Skittles Garden Set,Wooden Skittles Garden Set,Product,6,596,5,0.429254,0.447851,0,0.000413,0.000413,0.000064,0,7,876,1,15,0.007101
Spaceboy Childrens Egg Cup,Spaceboy Childrens Egg Cup,Product,260,22741,4,0.50377,0.536135,0.000034,0.017542,0.017542,0.000249,0,7,283,0.823225,27718,0.296632
Family Album White Picture Frame,Family Album White Picture Frame,Product,265,21264,4,0.507103,0.538757,0.000034,0.017862,0.017862,0.000253,0,5,736,0.828502,28981,0.302233
Childs Garden Rake Pink,Childs Garden Rake Pink,Product,21,1727,5,0.423878,0.445152,0,0.000872,0.000872,0.000093,0,11,464,0.804762,169,0.014911
Traditional Wooden Skipping Rope,Traditional Wooden Skipping Rope,Product,758,98514,4,0.568499,0.637247,0.000553,0.04038,0.04038,0.000899,0,11,297,0.540946,155199,0.682143
Card Dog And Ball,Card Dog And Ball,Product,148,16782,4,0.488198,0.511352,0.000011,0.009933,0.009933,0.000198,0,7,885,0.844549,9187,0.168397
Chocolate 3 Wick Morris Box Candle,Chocolate 3 Wick Morris Box Candle,Product,88,6573,5,0.471845,0.492319,0.000056,0.002833,0.002833,0.000157,0,14,748,0.718652,2751,0.049645
6 Gift Tags 50'S Christmas,6 Gift Tags 50'S Christmas,Product,615,94086,4,0.548978,0.608532,0.00025,0.034057,0.034057,0.000845,0,16,725,0.606271,114467,0.575061
Wooden Owls Light Garland,Wooden Owls Light Garland,Product,164,16353,4,0.485469,0.511608,0.000009,0.010306,0.010306,0.000193,0,7,795,0.798219,10669,0.174502
Set/12 Funky Felt Flower Peg In Bag,Set/12 Funky Felt Flower Peg In Bag,Product,50,3749,4,0.471589,0.486985,0.000001,0.002984,0.002984,0.00009,0,14,898,0.831837,1019,0.05082
Small Camphor Wood Field Mushroom,Small Camphor Wood Field Mushroom,Product,2,144,1,1,1,0,0,0,0.000331,5,8,88,1,1,0.000036
Edwardian Parasol Natural,Edwardian Parasol Natural,Product,408,44564,4,0.525297,0.5684,0.000891,0.023559,0.023559,0.000503,0,21,388,0.664944,55209,0.398795
Blue Rose Fabric Mirror,Blue Rose Fabric Mirror,Product,217,17770,4,0.49847,0.527245,0.000151,0.008833,0.008833,0.000283,0,14,291,0.595195,13949,0.152675
Paper Lantern 7 Point Snow Star,Paper Lantern 7 Point Snow Star,Product,1,75,6,0.303341,0.309932,0,0.000001,0.000001,0.000075,0,16,288,0,0,0.000038
Set Of 36 Dolly Girl Paper Doilies,Set Of 36 Dolly Girl Paper Doilies,Product,120,14282,4,0.48179,0.503262,0.000002,0.008592,0.008592,0.000173,0,7,848,0.902241,6442,0.145511
Ceramic Bowl With Love Heart Design,Ceramic Bowl With Love Heart Design,Product,64,5140,5,0.454561,0.476375,0.000068,0.001925,0.001925,0.000147,0,14,430,0.467262,942,0.033522
French Blue Metal Door Sign 1,French Blue Metal Door Sign 1,Product,147,16432,4,0.488931,0.511672,0.00001,0.009945,0.009945,0.00024,0,5,635,0.852577,9149,0.168769
Red Retrospot Oven Glove,Red Retrospot Oven Glove,Product,753,104182,4,0.570116,0.637439,0.001601,0.039179,0.039179,0.001014,0,21,53,0.519295,147027,0.662621
Pink Heart Shape Love Bucket,Pink Heart Shape Love Bucket,Product,131,14225,4,0.483488,0.505916,0.000064,0.006347,0.006347,0.000208,0,11,597,0.585203,4983,0.108215
Porcelain Budah Incense Holder,Porcelain Budah Incense Holder,Product,64,6593,5,0.468284,0.486531,0.000048,0.002845,0.002845,0.000157,0,14,825,0.562996,1135,0.048778
Set Of 3 Cake Tins Pantry Design,Set Of 3 Cake Tins Pantry Design,Product,1309,216788,4,0.653133,0.745683,0.005413,0.052965,0.052965,0.002123,0,7,471,0.297856,254990,0.900011
Set Of 16 Vintage Pistachio Cutlery,Set Of 16 Vintage Pistachio Cutlery,Product,159,14584,5,0.484747,0.510674,0.000032,0.00467,0.00467,0.000251,0,14,858,0.708622,8901,0.082184
Embossed Heart Trinket Box,Embossed Heart Trinket Box,Product,8,445,5,0.433106,0.451484,0,0.0006,0.0006,0.000061,0,16,851,1,28,0.010193
Gold Standing Gnome,Gold Standing Gnome,Product,1,57,5,0.35326,0.366174,0,0.000057,0.000057,0.000057,0,16,351,0,0,0.000958
Mini Playing Cards Gymkhana,Mini Playing Cards Gymkhana,Product,272,43319,4,0.497803,0.533928,0.000056,0.015913,0.015913,0.000422,0,16,38,0.727887,26827,0.268992
Key Fob Shed,Key Fob Shed,Product,626,67469,4,0.552119,0.611665,0.000619,0.035447,0.035447,0.000668,0,5,127,0.61758,120814,0.598633
Doormat Black Flock,Doormat Black Flock,Product,36,13184,5,0.457033,0.474296,0.000005,0.001558,0.001558,0.000194,0,5,133,0.798413,503,0.026622
Heart Decoration With Pearls,Heart Decoration With Pearls,Product,452,41003,4,0.534016,0.579144,0.000264,0.025483,0.025483,0.000444,0,5,860,0.637737,65002,0.431718
Christmas Retrospot Tree Wood,Christmas Retrospot Tree Wood,Product,454,48477,4,0.528065,0.576138,0.0001,0.027011,0.027011,0.000461,0,16,405,0.702609,72250,0.456139
Set 12 Colour Pencils Spaceboy,Set 12 Colour Pencils Spaceboy,Product,614,92261,4,0.549325,0.608628,0.000226,0.034291,0.034291,0.000825,0,16,168,0.617463,116201,0.579039
Set Of 6 Nativity Magnets,Set Of 6 Nativity Magnets,Product,363,44517,4,0.513194,0.555385,0.000059,0.021069,0.021069,0.000421,0,16,54,0.691262,45418,0.35601
Silver Record Cover Frame,Silver Record Cover Frame,Product,173,14803,5,0.497423,0.520875,0.000193,0.011517,0.011517,0.000211,0,21,520,0.806224,11995,0.195258
Happy Stencil Craft,Happy Stencil Craft,Product,359,37809,4,0.515122,0.556089,0.000133,0.020511,0.020511,0.000385,0,11,850,0.649756,41754,0.34702
3 Hook Hanger Magic Garden,3 Hook Hanger Magic Garden,Product,330,52795,4,0.511783,0.550237,0.000073,0.018958,0.018958,0.000492,0,7,295,0.677093,36756,0.321301
Set 36 Colour Pencils Dolly Girl,Set 36 Colour Pencils Dolly Girl,Product,323,31116,4,0.508885,0.547327,0.000447,0.019738,0.019738,0.000353,0,16,186,0.748457,38922,0.333629
Childs Breakfast Set Dolly Girl,Childs Breakfast Set Dolly Girl,Product,88,7448,5,0.467612,0.489345,0.000002,0.005984,0.005984,0.000121,0,7,552,0.900209,3446,0.101471
French Blue Metal Door Sign 4,French Blue Metal Door Sign 4,Product,77,9828,5,0.476243,0.493886,0.000003,0.005181,0.005181,0.000179,0,5,635,0.908066,2657,0.08822
Felt Egg Cosy Chicken,Felt Egg Cosy Chicken,Product,101,7377,5,0.482414,0.501401,0.000561,0.006562,0.006562,0.000145,0,7,554,0.744752,3761,0.111796
Poppy's Playhouse Livingroom,Poppy's Playhouse Livingroom,Product,413,39993,4,0.523083,0.567664,0.000147,0.025107,0.025107,0.000397,0,11,692,0.718482,61127,0.424165
Pretty Hanging Quilted Hearts,Pretty Hanging Quilted Hearts,Product,164,13581,5,0.491142,0.515599,0.000036,0.009147,0.009147,0.000189,0,16,523,0.667739,8925,0.155297
Pack Of 6 Cocktail Parasol Straws,Pack Of 6 Cocktail Parasol Straws,Product,231,31300,4,0.50125,0.530826,0.000063,0.01374,0.01374,0.000331,0,21,177,0.692001,18383,0.233069
Vintage 2 Metre Folding Ruler,Vintage 2 Metre Folding Ruler,Product,558,71740,4,0.542239,0.597435,0.000594,0.031753,0.031753,0.000674,0,16,146,0.634518,98606,0.536079
Set Of 12 Fairy Cake Baking Cases,Set Of 12 Fairy Cake Baking Cases,Product,933,178052,4,0.591869,0.671175,0.001158,0.045291,0.045291,0.001558,0,7,476,0.44571,193785,0.766248
Pack Of 20 Spaceboy Napkins,Pack Of 20 Spaceboy Napkins,Product,367,59594,4,0.513295,0.555801,0.000085,0.01993,0.01993,0.000544,0,7,861,0.657554,44162,0.337666
Wrap Dolly Girl,Wrap Dolly Girl,Product,283,40629,4,0.507004,0.541251,0.000067,0.016926,0.016926,0.000394,0,6,535,0.716613,28595,0.286705
Alarm Clock Bakelike Green,Alarm Clock Bakelike Green,Product,1038,159242,4,0.608736,0.692409,0.002185,0.048501,0.048501,0.001458,0,7,879,0.405804,218405,0.820825
Ridged Glass Finger Bowl,Ridged Glass Finger Bowl,Product,59,5270,4,0.468705,0.48593,0.000055,0.00161,0.00161,0.000157,0,14,322,0.643483,1101,0.028446
Travel Sewing Kit,Travel Sewing Kit,Product,671,107728,4,0.557076,0.620107,0.000336,0.035468,0.035468,0.000956,0,7,323,0.552421,124176,0.599712
